event_name,event_display,event_tag,event_desc,property_count
account_login,登录账号成功,激活新增链路,登录账号成功后上报,1
account_login_call,发起账号登录,激活新增链路,玩家发起登录后上报,0
app_active,app激活,激活新增链路,玩家启动游戏户上报,0
armor_decompose,防具分解,养成-装备,防具分解成功并返还材料到账后上报（防具自动分解报道具流水）,6
armor_equip,装备防具,养成-装备,防具穿戴或替换成功后上报,4
career_preview,玩家职业查看,激活新增链路,玩家切换选择不同职业后上报,1
career_select_success,职业选择成功,激活新增链路,,0
chest_open,开宝箱,抽奖流水,武器/装备宝箱抽取完成后上报，十连报一条,7
dungeon,副本结算（服务器）,副本流水,副本通关、失败或服务端结算后上报,12
dungeon_end,退出副本,副本流水,副本主动退出、失败退出或异常离开时上报,12
dungeon_end_choose,副本结束后选择,,玩家主线副本结束后选择,4
dungeon_enter,进入副本,副本流水,进入主线副本、大秘境、素材秘境、装备秘境时上报,9
equip_pos_levelup,装备槽位强化,养成-装备,装备槽位强化后上报,6
game_login_call,请求连接服务器,激活新增链路,玩家选服登录请求连接前上报,0
guide_finish,引导结束,激活转化链路,引导完成上报,2
guide_start,引导开始,激活转化链路,引导开始时上报,1
idle_reward,挂机奖励领取,其他系统,在线奖励领取到账后上报,5
item_flow,获得道具,道具流水,道具获得消耗时触发、货币也报在这里,7
login,登录事件,激活新增链路,角色登录后上报,0
logout,登出事件,激活新增链路,角色登出,1
mail_flow,邮件流水,服务端,产生邮件相关行为后上报,6
pet_fight,宠物上阵,养成-宠物,宠物上阵阵容变动后上报,2
prop_flow,装备道具获得/消耗（目前只有防具+主武器）,流水日志,,10
rank,排名日志,其他系统,每日daily 的时候报一次 目前只需要报 大小秘境,7
role_create_success,创建角色成功,激活新增链路,创建角色成功后上报,0
role_levelup,角色升级,,角色升级后上报,4
shop_buy,商城购买,商城购买,商店商品购买成功后上报,8
shop_view,商城浏览,商城购买,进入重要商城页签时上报，仅保留核心商城入口,4
skill_equip,装备/魂珠技能,养成-技能,技能、魂珠装配或替换成功后上报,4
skill_levelup,技能升级,养成-技能,技能升级成功后上报,5
task_completed,任务完成,流水日志,任务完成或领奖时上报,6
user_snapshot,用户快照,其他系统,每日上报一次,12
weapon_equip,装备武器,养成-武器,武器穿戴或替换成功后上报,4
weapon_starup,武器升星,养成-武器,武器升星成功后上报,6
